No.,Time,Source,Destination,Protocol,Tag,Length,Info
1,0,10.20.102.1,10.20.100.108,IEC 60870-5-104,8,60,<- U (TESTFR act) 
2,0.000542,10.20.100.108,10.20.102.1,IEC 60870-5-104,8,60,-> U (TESTFR con) 
3,0.253158,10.20.102.1,10.20.100.108,IEC 60870-5-104,8,60,<- U (STARTDT act) 
4,0.253711,10.20.100.108,10.20.102.1,IEC 60870-5-104,8,60,-> U (STARTDT con) 
5,0.268356,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (0,0) ASDU=10 C_IC_NA_1 Act     IOA=0"
6,0.270286,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,70,"-> I (0,0) ASDU=10 M_EI_NA_1 Init    IOA=0"
7,0.278431,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (1,1) ASDU=10 C_IC_NA_1 Act     IOA=0"
8,0.280407,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,126,"-> I (1,1) ASDU=10 C_IC_NA_1 ActCon  IOA=0 | -> I (2,1) ASDU=10 M_SP_NA_1 Inrogen IOA[4]=1,... | -> I (3,1) ASDU=10 M_DP_NA_1 Inrogen IOA[4]=1,..."
9,0.475328,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,490,"-> I (4,2) ASDU=10 M_ST_NA_1 Inrogen IOA[4]=1,... | -> I (5,2) ASDU=10 M_BO_NA_1 Inrogen IOA[4]=1,... | -> I (6,2) ASDU=10 M_ME_NA_1 Inrogen IOA[4]=1,... | -> I (7,2) ASDU=10 M_ME_NB_1 Inrogen IOA[4]=1,... | -> I (8,2) ASDU=10 M_ME_NC_1 Inrogen IOA[4]=1,... | -> I (9,2) ASDU=10 M_SP_TB_1 Inrogen IOA[4]=11,... | -> I (10,2) ASDU=10 M_DP_TB_1 Inrogen IOA[4]=11,... | -> I (11,2) ASDU=10 M_ST_TB_1 Inrogen IOA[4]=11,... | -> I (12,2) ASDU=10 M_BO_TB_1 Inrogen IOA[4]=11,..."
10,0.523816,10.20.102.1,10.20.100.108,IEC 60870-5-104,8,60,<- S (13) 
11,0.743457,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,534,"-> I (13,2) ASDU=10 M_ME_TD_1 Inrogen IOA[4]=11,... | -> I (14,2) ASDU=10 M_ME_TE_1 Inrogen IOA[4]=11,... | -> I (15,2) ASDU=10 M_ME_TF_1 Inrogen IOA[4]=11,... | -> I (16,2) ASDU=10 C_IC_NA_1 ActTerm IOA=0 | -> I (17,2) ASDU=10 C_IC_NA_1 ActCon  IOA=0 | -> I (18,2) ASDU=10 M_SP_NA_1 Inrogen IOA[4]=1,... | -> I (19,2) ASDU=10 M_DP_NA_1 Inrogen IOA[4]=1,... | -> I (20,2) ASDU=10 M_ST_NA_1 Inrogen IOA[4]=1,... | -> I (21,2) ASDU=10 M_BO_NA_1 Inrogen IOA[4]=1,... | -> I (22,2) ASDU=10 M_ME_NA_1 Inrogen IOA[4]=1,... | -> I (23,2) ASDU=10 M_ME_NB_1 Inrogen IOA[4]=1,... | -> I (24,2) ASDU=10 M_ME_NC_1 Inrogen IOA[4]=1,..."
12,0.782221,10.20.102.1,10.20.100.108,IEC 60870-5-104,8,60,<- S (25) 
13,0.994371,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,514,"-> I (25,2) ASDU=10 M_SP_TB_1 Inrogen IOA[4]=11,... | -> I (26,2) ASDU=10 M_DP_TB_1 Inrogen IOA[4]=11,... | -> I (27,2) ASDU=10 M_ST_TB_1 Inrogen IOA[4]=11,... | -> I (28,2) ASDU=10 M_BO_TB_1 Inrogen IOA[4]=11,... | -> I (29,2) ASDU=10 M_ME_TD_1 Inrogen IOA[4]=11,... | -> I (30,2) ASDU=10 M_ME_TE_1 Inrogen IOA[4]=11,... | -> I (31,2) ASDU=10 M_ME_TF_1 Inrogen IOA[4]=11,... | -> I (32,2) ASDU=10 C_IC_NA_1 ActTerm IOA=0"
14,4.038967,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (2,33) ASDU=10 C_SC_NA_1 Act     IOA=2"
15,4.249664,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,102,"-> I (33,3) ASDU=10 C_SC_NA_1 ActCon  IOA=2 | -> I (34,3) ASDU=10 C_SC_NA_1 ActTerm IOA=2 | -> I (35,3) ASDU=10 M_SP_NA_1 Spont   IOA=2"
16,4.413692,10.20.102.1,10.20.100.108,IEC 60870-5-104,8,60,<- S (36) 
17,6.879525,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (3,36) ASDU=10 C_SC_NA_1 Act     IOA=13"
18,7.007234,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,109,"-> I (36,4) ASDU=10 C_SC_NA_1 ActCon  IOA=13 | -> I (37,4) ASDU=10 C_SC_NA_1 ActTerm IOA=13 | -> I (38,4) ASDU=10 M_SP_TB_1 Spont   IOA=13"
19,10.512091,10.20.100.108,10.20.102.1,IEC 60870-5-104,8,60,-> S (4) 
20,11.738787,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (4,39) ASDU=10 C_DC_NA_1 Act     IOA=1"
21,11.76561,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,70,"-> I (39,5) ASDU=10 C_DC_NA_1 ActCon  IOA=1"
22,11.959905,10.20.100.108,10.20.102.1,IEC 60870-5 ASDU,8,86,"-> I (40,5) ASDU=10 C_DC_NA_1 ActTerm IOA=1 | -> I (41,5) ASDU=10 M_DP_NA_1 Spont   IOA=1"
23,14.058307,10.20.102.1,10.20.100.108,IEC 60870-5 ASDU,8,70,"<- I (5,42) ASDU=10 C_DC_NA_1 Act     IOA=14"
