No.,Time,Source,Destination,Protocol,Tag,Length,Info
1,56:55.0,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=66 TSval=2220725123 TSecr=1777443977"
2,56:55.0,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=67 Win=83 Len=0 TSval=1777445072 TSecr=2220725123
3,56:55.5,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=58 TSval=552499631 TSecr=2194137526"
4,56:55.5,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=59 Win=83 Len=0 TSval=2194138627 TSecr=552499631
5,56:55.6,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=30 TSval=1776230594 TSecr=3277204721"
6,56:55.6,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=31 Win=83 Len=0 TSval=3277205795 TSecr=1776230594
7,56:55.8,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=46 TSval=2091381336 TSecr=2650897214"
8,56:55.8,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=47 Win=83 Len=0 TSval=2650898315 TSecr=2091381336
9,56:56.0,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=46 TSval=3350812610 TSecr=2773688330"
10,56:56.0,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=47 Win=83 Len=0 TSval=2773689542 TSecr=3350812610
11,56:56.1,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=1 Ack=1 Win=85 Len=46 TSval=1181303231 TSecr=2456340466"
12,56:56.1,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=47 Win=83 Len=0 TSval=2456341667 TSecr=1181303231
13,56:56.3,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=67 Ack=1 Win=85 Len=66 TSval=2220726362 TSecr=1777445072"
14,56:56.3,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=133 Win=83 Len=0 TSval=1777446311 TSecr=2220726362
15,56:56.7,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=31 Ack=1 Win=85 Len=30 TSval=1776231605 TSecr=3277205795"
16,56:56.7,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=61 Win=83 Len=0 TSval=3277206806 TSecr=1776231605
17,56:56.7,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=59 Ack=1 Win=85 Len=58 TSval=552500811 TSecr=2194138627"
18,56:56.7,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=117 Win=83 Len=0 TSval=2194139807 TSecr=552500811
19,56:56.9,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=47 Ack=1 Win=85 Len=46 TSval=2091382513 TSecr=2650898315"
20,56:56.9,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=93 Win=83 Len=0 TSval=2650899492 TSecr=2091382513
21,56:57.2,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=47 Ack=1 Win=85 Len=46 TSval=3350813822 TSecr=2773689542"
22,56:57.2,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=93 Win=83 Len=0 TSval=2773690754 TSecr=3350813822
23,56:57.3,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=47 Ack=1 Win=85 Len=46 TSval=1181304361 TSecr=2456341667"
24,56:57.3,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=93 Win=83 Len=0 TSval=2456342797 TSecr=1181304361
25,56:57.5,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=133 Ack=1 Win=85 Len=66 TSval=2220727565 TSecr=1777446311"
26,56:57.5,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=199 Win=83 Len=0 TSval=1777447514 TSecr=2220727565
27,56:57.7,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=61 Ack=1 Win=85 Len=30 TSval=1776232685 TSecr=3277206806"
28,56:57.7,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=91 Win=83 Len=0 TSval=3277207886 TSecr=1776232685
29,56:57.9,100.6.0.16,100.6.0.22,TCP,1,124,"991  >  39646 [PSH, ACK] Seq=117 Ack=1 Win=85 Len=58 TSval=552501951 TSecr=2194139807"
30,56:57.9,100.6.0.22,100.6.0.16,TCP,1,66,39646  >  991 [ACK] Seq=1 Ack=175 Win=83 Len=0 TSval=2194140947 TSecr=552501951
31,56:58.1,100.6.0.12,100.6.0.22,TCP,1,112,"991  >  39224 [PSH, ACK] Seq=93 Ack=1 Win=85 Len=46 TSval=2091383637 TSecr=2650899492"
32,56:58.1,100.6.0.22,100.6.0.12,TCP,1,66,39224  >  991 [ACK] Seq=1 Ack=139 Win=83 Len=0 TSval=2650900617 TSecr=2091383637
33,56:58.3,100.6.0.11,100.6.0.22,TCP,1,112,"991  >  49370 [PSH, ACK] Seq=93 Ack=1 Win=85 Len=46 TSval=3350814979 TSecr=2773690754"
34,56:58.3,100.6.0.22,100.6.0.11,TCP,1,66,49370  >  991 [ACK] Seq=1 Ack=139 Win=83 Len=0 TSval=2773691911 TSecr=3350814979
35,56:58.4,100.6.0.14,100.6.0.22,TCP,1,112,"991  >  48900 [PSH, ACK] Seq=93 Ack=1 Win=85 Len=46 TSval=1181305484 TSecr=2456342797"
36,56:58.4,100.6.0.22,100.6.0.14,TCP,1,66,48900  >  991 [ACK] Seq=1 Ack=139 Win=83 Len=0 TSval=2456343920 TSecr=1181305484
37,56:58.9,100.6.0.15,100.6.0.22,TCP,1,96,"991  >  37484 [PSH, ACK] Seq=91 Ack=1 Win=85 Len=30 TSval=1776233798 TSecr=3277207886"
38,56:58.9,100.6.0.22,100.6.0.15,TCP,1,66,37484  >  991 [ACK] Seq=1 Ack=121 Win=83 Len=0 TSval=3277208999 TSecr=1776233798
39,56:58.9,100.6.0.13,100.6.0.22,TCP,1,132,"991  >  38438 [PSH, ACK] Seq=199 Ack=1 Win=85 Len=66 TSval=2220728963 TSecr=1777447514"
40,56:58.9,100.6.0.22,100.6.0.13,TCP,1,66,38438  >  991 [ACK] Seq=1 Ack=265 Win=83 Len=0 TSval=1777448912 TSecr=2220728963
